task_id,suite,task_name,instruction,episode,episode_seed,success,n_steps,max_steps,distractor_density,n_distractors,frame_path,fail_frame_path
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,0,1000,1,260,520,0.625,5,outputs\mounika_task0_v2_chunk_00_09\libero_10\frames\libero_10_0_initial.jpg,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,1,1001,1,243,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,2,1002,1,245,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,3,1003,1,251,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,4,1004,1,264,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,5,1005,1,245,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,6,1006,1,257,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,7,1007,1,224,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,8,1008,1,243,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,9,1009,1,242,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,10,1010,1,264,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,11,1011,1,234,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,12,1012,1,249,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,13,1013,1,260,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,14,1014,1,271,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,15,1015,1,253,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,16,1016,1,265,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,17,1017,1,269,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,18,1018,1,275,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,19,1019,1,249,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,20,1020,1,286,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,21,1021,1,252,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,22,1022,1,235,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,23,1023,1,253,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,24,1024,1,234,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,25,1025,1,257,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,26,1026,1,238,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,27,1027,1,290,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,28,1028,1,252,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,29,1029,1,260,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,30,1030,1,239,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,31,1031,1,253,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,32,1032,1,277,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,33,1033,1,244,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,34,1034,1,236,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,35,1035,1,242,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,36,1036,1,272,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,37,1037,1,255,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,38,1038,1,239,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,39,1039,1,314,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,40,1040,1,254,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,41,1041,1,255,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,42,1042,1,242,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,43,1043,1,265,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,44,1044,1,242,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,45,1045,1,250,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,46,1046,1,239,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,47,1047,1,248,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,48,1048,1,243,520,0.625,5,,
libero_10_0,libero_10,put both the alphabet soup and the tomato sauce in the basket,put both the alphabet soup and the tomato sauce in the basket,49,1049,1,271,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,0,1000,1,236,520,0.625,5,outputs\mounika_task1_v2_rerun\libero_10\frames\libero_10_1_initial.jpg,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,1,1001,1,231,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,2,1002,1,230,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,3,1003,1,234,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,4,1004,1,237,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,5,1005,1,244,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,6,1006,1,244,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,7,1007,1,226,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,8,1008,1,234,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,9,1009,1,240,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,10,1010,1,232,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,11,1011,1,230,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,12,1012,1,231,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,13,1013,1,229,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,14,1014,1,245,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,15,1015,1,232,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,16,1016,1,229,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,17,1017,1,232,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,18,1018,1,231,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,19,1019,1,239,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,20,1020,1,236,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,21,1021,1,255,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,22,1022,1,242,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,23,1023,1,232,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,24,1024,1,221,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,25,1025,1,239,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,26,1026,1,230,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,27,1027,1,242,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,28,1028,1,245,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,29,1029,1,247,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,30,1030,1,234,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,31,1031,1,234,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,32,1032,1,226,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,33,1033,1,271,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,34,1034,1,251,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,35,1035,1,243,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,36,1036,1,242,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,37,1037,1,221,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,38,1038,1,219,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,39,1039,1,242,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,40,1040,1,226,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,41,1041,1,257,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,42,1042,1,234,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,43,1043,1,266,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,44,1044,1,244,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,45,1045,1,230,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,46,1046,1,238,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,47,1047,1,251,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,48,1048,1,237,520,0.625,5,,
libero_10_1,libero_10,put both the cream cheese box and the butter in the basket,put both the cream cheese box and the butter in the basket,49,1049,1,232,520,0.625,5,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,0,1000,1,225,520,0.5,1,outputs\mounika_task2_v2_chunk_00_09\libero_10\frames\libero_10_2_initial.jpg,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,1,1001,1,222,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,2,1002,1,234,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,3,1003,1,251,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,4,1004,1,221,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,5,1005,1,233,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,6,1006,1,232,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,7,1007,1,235,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,8,1008,1,214,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,9,1009,1,234,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,10,1010,1,229,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,11,1011,1,236,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,12,1012,1,237,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,13,1013,1,227,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,14,1014,1,218,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,15,1015,1,210,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,16,1016,1,246,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,17,1017,1,223,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,18,1018,1,252,520,0.5,1,,
libero_10_2,libero_10,turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it,19,1019,1,227,520,0.5,1,,
