task_id,suite,success_rate,n_episodes,avg_steps,instruction,bddl_file,total_objects,target_objects,n_distractors,distractor_density,n_objects_sim,initial_distance
libero_10_0,libero_10,1,50,254.0,put both the alphabet soup and the tomato sauce in the basket,bddl_files/libero_10/put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,8,3,5,0.625,8,-1.0
libero_10_1,libero_10,1,50,237.46,put both the cream cheese box and the butter in the basket,bddl_files/libero_10/put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,8,3,5,0.625,8,-1.0
libero_10_2,libero_10,1,50,235.44,turn on the stove and put the moka pot on it,bddl_files/libero_10/turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,2,2,1,0.5,2,-1.0
libero_10_3,libero_10,0.98,50,221.62,put the black bowl in the bottom drawer of the cabinet and close it,bddl_files/libero_10/put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl,2,2,1,0.5,2,-1.0
libero_10_4,libero_10,1,50,216.36,put the white mug on the left plate and put the yellow and white mug on the right plate,bddl_files/libero_10/put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl,5,4,1,0.2,5,-1.0
libero_10_5,libero_10,1,50,165.1,pick up the book and place it in the back compartment of the caddy,bddl_files/libero_10/pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl,2,2,1,0.5,2,-1.0
libero_10_6,libero_10,0.96,50,225.52,put the white mug on the plate and put the chocolate pudding to the right of the plate,bddl_files/libero_10/put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl,4,3,1,0.25,4,-1.0
libero_10_7,libero_10,1,50,247.52,put both the alphabet soup and the cream cheese box in the basket,bddl_files/libero_10/put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl,5,3,2,0.4,5,-1.0
libero_10_8,libero_10,0.82,50,409.12,put both moka pots on the stove,bddl_files/libero_10/put_both_moka_pots_on_the_stove.bddl,3,3,0,0,3,-1.0
libero_10_9,libero_10,0.92,50,277.76,put the yellow and white mug in the microwave and close it,bddl_files/libero_10/put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl,2,2,1,0.5,2,-1.0
