task_id,suite,task_name,instruction,episode,episode_seed,success,n_steps,max_steps,timeout,distractor_density,n_distractors,n_pick_targets,n_grasp_attempts,n_gripper_close_events,n_close_commands,time_to_first_close,frac_closed,path_length,min_target_dist,final_target_dist,time_to_min_pick_dist,min_place_dist,final_place_dist,min_eef_place_dist,final_eef_place_dist,pick_displacement,eef_z_min,eef_z_max,nearest_at_first_close,correct_object_at_first_close,likely_recovery,success_video_gated,frame_path,fail_frame_path,success_video_path
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,0,1000,1,135,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1789,0.0092,0.0718,132,0.0441,0.0441,0.0918,0.1131,0.5112,0.0442,0.2892,,,0,0,outputs/custom_eval_recovery/libero_object/frames/libero_object_0_initial.jpg,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,1,1001,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.206,0.0089,0.0581,136,0.0586,0.0586,0.0931,0.1164,0.5144,0.0435,0.2859,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,2,1002,1,140,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.237,0.0079,0.0336,138,0.0673,0.0673,0.0808,0.0998,0.5181,0.0438,0.2836,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,3,1003,1,136,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1846,0.01,0.0344,134,0.0722,0.0722,0.0886,0.1059,0.5173,0.0443,0.2868,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,4,1004,1,138,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2809,0.0164,0.0699,48,0.0495,0.0495,0.1022,0.1173,0.5133,0.0432,0.2942,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,5,1005,1,141,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.1966,0.0097,0.0819,138,0.0324,0.0324,0.0876,0.1106,0.5214,0.0446,0.2866,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,6,1006,1,143,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2455,0.0078,0.0337,141,0.0649,0.0649,0.0827,0.0977,0.5233,0.0438,0.2837,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,7,1007,1,140,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2043,0.008,0.072,137,0.0463,0.0463,0.0971,0.1178,0.5141,0.0438,0.2837,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,8,1008,1,134,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1858,0.0096,0.0679,131,0.0562,0.0562,0.095,0.1219,0.5282,0.0442,0.2924,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,9,1009,1,146,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.3438,0.0162,0.0693,51,0.0475,0.0475,0.1007,0.1154,0.5258,0.044,0.3317,,,0,0,,,
