task_id,suite,instruction,total_objects,target_objects,n_distractors,distractor_density
libero_object_0,libero_object,Pick the alphabet soup and place it in the basket,7,2,5,0.7142857142857143
libero_object_1,libero_object,Pick the cream cheese and place it in the basket,7,2,5,0.7142857142857143
libero_object_2,libero_object,Pick the salad dressing and place it in the basket,7,2,5,0.7142857142857143
libero_object_3,libero_object,Pick the bbq sauce and place it in the basket,7,2,5,0.7142857142857143
libero_object_4,libero_object,Pick the ketchup and place it in the basket,7,2,5,0.7142857142857143
libero_object_5,libero_object,Pick the tomato sauce and place it in the basket,7,2,5,0.7142857142857143
libero_object_6,libero_object,Pick the butter and place it in the basket,7,2,5,0.7142857142857143
libero_object_7,libero_object,Pick the milk and place it in the basket,7,2,5,0.7142857142857143
libero_object_8,libero_object,Pick the chocolate pudding and place it in the basket,7,2,5,0.7142857142857143
libero_object_9,libero_object,Pick the orange juice and place it in the basket,7,2,5,0.7142857142857143
