task_id,suite,task_name,instruction,episode,episode_seed,success,n_steps,max_steps,distractor_density,n_distractors,frame_path,fail_frame_path
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,0,1000,1,117,300,1.0,4,outputs/custom_eval_500/libero_goal/frames/libero_goal_0_initial.jpg,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,1,1001,1,113,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,2,1002,1,112,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,3,1003,1,122,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,4,1004,1,108,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,5,1005,1,141,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,6,1006,1,118,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,7,1007,1,135,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,8,1008,1,125,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,9,1009,1,142,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,10,1010,1,129,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,11,1011,1,121,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,12,1012,1,126,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,13,1013,1,125,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,14,1014,1,139,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,15,1015,1,119,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,16,1016,1,114,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,17,1017,1,131,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,18,1018,1,124,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,19,1019,1,129,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,20,1020,1,141,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,21,1021,1,121,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,22,1022,1,122,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,23,1023,1,118,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,24,1024,1,108,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,25,1025,1,114,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,26,1026,1,120,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,27,1027,1,119,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,28,1028,1,116,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,29,1029,1,111,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,30,1030,1,108,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,31,1031,1,125,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,32,1032,1,119,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,33,1033,1,109,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,34,1034,1,154,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,35,1035,1,118,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,36,1036,1,127,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,37,1037,1,128,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,38,1038,1,125,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,39,1039,1,125,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,40,1040,1,132,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,41,1041,1,120,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,42,1042,1,125,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,43,1043,1,126,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,44,1044,1,116,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,45,1045,1,128,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,46,1046,1,118,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,47,1047,1,109,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,48,1048,1,131,300,1.0,4,,
libero_goal_0,libero_goal,open the middle drawer of the cabinet,Open the middle layer of the drawer,49,1049,1,125,300,1.0,4,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,0,1000,1,79,300,0.75,3,outputs/custom_eval_500/libero_goal/frames/libero_goal_1_initial.jpg,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,1,1001,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,2,1002,1,80,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,3,1003,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,4,1004,1,85,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,5,1005,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,6,1006,1,85,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,7,1007,1,81,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,8,1008,1,82,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,9,1009,1,88,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,10,1010,1,85,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,11,1011,1,92,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,12,1012,1,84,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,13,1013,1,81,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,14,1014,1,79,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,15,1015,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,16,1016,1,85,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,17,1017,1,86,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,18,1018,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,19,1019,1,82,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,20,1020,1,81,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,21,1021,1,90,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,22,1022,1,81,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,23,1023,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,24,1024,1,83,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,25,1025,1,86,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,26,1026,1,78,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,27,1027,1,87,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,28,1028,1,87,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,29,1029,1,84,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,30,1030,1,82,300,0.75,3,,
libero_goal_1,libero_goal,put the bowl on the stove,Put the bowl on the stove,31,1031,1,91,300,0.75,3,,
