task_id,suite,success_rate,n_episodes,avg_steps,instruction,bddl_file,total_objects,target_objects,n_distractors,distractor_density,n_objects_sim,initial_distance
libero_spatial_0,libero_spatial,1.0,50,77.06,Pick the akita black bowl between the plate and the ramekin and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.3785
libero_spatial_1,libero_spatial,0.98,50,109.56,Pick the akita black bowl next to the ramekin and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.4227
libero_spatial_2,libero_spatial,1.0,50,92.96,Pick the akita black bowl from table center and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.3171
libero_spatial_3,libero_spatial,0.98,50,87.88,Pick the akita black bowl on the cookies box and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.3768
libero_spatial_4,libero_spatial,0.98,50,131.56,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.3358
libero_spatial_5,libero_spatial,0.8,50,124.26,Pick the akita black bowl on the ramekin and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.2792
libero_spatial_6,libero_spatial,1.0,50,107.78,Pick the akita black bowl next to the cookies box and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.4484
libero_spatial_7,libero_spatial,1.0,50,112.02,Pick the akita black bowl on the stove and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.2753
libero_spatial_8,libero_spatial,1.0,50,93.86,Pick the akita black bowl next to the plate and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.4708
libero_spatial_9,libero_spatial,1.0,50,118.82,Pick the akita black bowl on the wooden cabinet and place it on the plate,/home/priya/my_robotics_project/lib/python3.12/site-packages/libero/libero/./bddl_files/libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.bddl,5,2,3,0.6,5,0.3653
