task_id,instruction,total_episodes,success_count,failure_count,success_rate,avg_steps,median_steps,min_steps,max_steps,failed_episodes
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,50,50,0,100.0,254.0,252.0,224,314,
libero_10_1,put both the cream cheese box and the butter in the basket,50,50,0,100.0,237.46,235.0,219,271,
libero_10_2,turn on the stove and put the moka pot on it,50,50,0,100.0,235.44,232.5,210,277,
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,50,49,1,98.0,221.62,212.5,194,520,13
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,50,50,0,100.0,216.36,216.0,203,231,
libero_10_5,pick up the book and place it in the back compartment of the caddy,50,50,0,100.0,165.1,164.0,144,193,
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,48,2,96.0,225.52,206.0,191,520,11;35
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,50,50,0,100.0,247.52,245.5,227,307,
libero_10_8,put both moka pots on the stove,50,41,9,82.0,409.12,395.5,339,520,1;5;9;12;15;24;25;40;42
libero_10_9,put the yellow and white mug in the microwave and close it,50,46,4,92.0,277.76,246.0,230,520,11;14;25;44
